TQ,FQ,TS,FS
196,464,205,38
180,466,212,45
196,439,217,51
182,456,219,46
175,470,214,44
171,471,217,44
178,464,212,49
181,460,211,51
203,464,197,39
190,466,202,45
185,488,197,33
0,0,659,244
185,484,198,36
0,0,663,240
162,507,197,37
168,443,242,50
188,475,202,38
207,447,206,43
182,435,236,50
192,454,220,37
194,465,201,43
238,646,19,0
180,476,202,45
179,465,210,49
183,477,207,36
0,0,692,211
0,0,674,229
173,456,225,49
187,464,214,38
189,475,209,30
172,475,215,41
188,464,219,32
0,0,676,227
194,482,194,33
189,481,195,38
195,455,201,52
179,473,212,39
0,0,684,219
0,0,685,218
194,465,205,39
