TQ,FQ,TS,FS
234,652,17,0
192,559,119,33
223,560,96,24
224,652,23,4
0,0,684,219
180,577,111,35
191,567,109,36
206,563,108,26
213,535,126,29
217,552,116,18
196,579,106,22
0,0,659,244
199,575,107,22
0,0,663,240
0,0,704,199
184,554,131,34
0,0,677,226
5,11,642,245
0,0,671,232
0,0,674,229
237,660,6,0
4,9,656,234
200,565,113,25
3,17,658,225
199,566,118,20
0,0,692,211
201,556,118,28
190,561,120,32
0,0,678,225
0,0,684,219
193,575,115,20
193,560,123,27
226,662,14,1
212,573,103,15
209,566,110,18
213,542,114,34
195,566,119,23
194,577,107,25
188,571,114,30
212,563,107,21
