TQ,FQ,TS,FS
54,120,549,180
66,159,519,159
140,245,411,107
195,534,141,33
117,270,414,102
49,121,567,166
117,282,394,110
128,301,370,104
128,271,390,114
99,211,457,136
188,532,153,30
131,262,397,113
134,302,380,87
111,211,452,129
0,8,696,199
117,266,419,101
152,358,319,74
132,271,382,118
131,278,393,101
17,44,630,212
131,271,395,106
125,273,392,113
125,290,388,100
121,280,395,107
126,321,363,93
115,288,404,96
96,216,458,133
124,300,381,98
127,280,398,98
145,392,292,74
115,303,387,98
95,250,433,125
122,290,386,105
117,285,391,110
222,651,25,5
137,271,385,110
134,283,402,84
177,530,154,42
47,91,594,171
115,221,449,118
