TQ,FQ,TS,FS
224,592,77,10
218,614,64,7
238,590,66,9
213,603,72,15
211,608,76,8
0,0,688,215
215,607,69,12
217,591,80,15
230,590,71,12
221,595,73,14
0,0,685,218
230,595,64,14
213,612,70,8
229,588,75,11
191,639,65,8
0,0,685,218
217,608,69,9
238,572,81,12
221,589,82,11
219,595,79,10
223,601,65,14
231,598,67,7
216,605,73,9
219,587,88,9
203,604,80,16
198,609,83,13
218,603,71,11
0,0,681,222
0,0,678,225
211,608,76,8
204,615,75,9
211,612,71,9
216,606,70,11
0,3,673,227
219,592,84,8
232,592,64,15
209,618,67,9
208,614,70,11
0,0,685,218
219,597,73,14
