TQ,FQ,TS,FS
203,527,142,31
190,524,154,35
0,0,656,247
186,515,160,42
187,523,161,32
177,517,171,38
189,517,159,38
190,506,165,42
207,510,151,35
0,0,668,235
187,526,159,31
211,516,143,33
182,523,159,39
207,509,154,33
0,0,704,199
0,0,685,218
191,533,144,35
2,14,639,248
193,501,170,39
200,507,167,29
0,0,666,237
213,525,140,25
0,0,678,225
194,523,152,34
181,510,174,38
0,0,692,211
0,0,674,229
183,505,176,39
198,522,156,27
186,503,181,33
181,533,157,32
188,515,168,32
196,524,152,31
211,535,141,16
192,505,171,35
0,0,656,247
181,522,163,37
0,0,684,219
178,512,173,40
191,514,156,42
