TQ,FQ,TS,FS
204,530,139,30
113,276,402,112
84,134,522,163
88,186,489,140
69,150,534,150
114,303,385,101
158,423,253,69
34,66,605,198
98,208,453,144
106,261,407,129
98,213,472,120
118,250,409,126
191,563,119,30
6,15,648,234
110,323,381,89
117,275,410,101
141,375,302,85
159,396,257,91
98,195,476,134
195,524,150,34
180,470,196,57
94,200,465,144
97,205,473,128
118,283,392,110
151,432,252,68
33,65,627,178
95,196,478,134
70,151,530,152
104,222,456,121
157,445,239,62
184,563,127,29
95,201,482,125
94,207,469,133
93,218,458,134
219,624,52,8
129,271,385,118
99,194,491,119
83,200,484,136
118,286,399,100
38,69,601,195
