TQ,FQ,TS,FS
194,440,229,40
56,147,531,169
215,468,188,32
139,295,380,89
17,30,654,202
77,173,515,138
174,386,290,53
163,384,287,69
164,363,298,78
190,435,233,45
180,431,254,38
172,357,302,72
148,341,341,73
198,421,242,42
152,432,272,47
37,84,601,181
126,307,370,100
148,316,337,102
141,314,357,91
115,241,433,114
185,434,232,52
185,405,260,53
172,436,242,53
72,183,492,156
91,209,475,128
84,219,473,127
91,195,479,138
114,248,433,108
140,347,331,85
172,413,271,47
76,188,502,137
176,420,263,44
94,200,476,133
183,431,245,44
37,95,581,190
195,413,243,52
71,152,533,147
171,447,237,48
136,325,360,82
137,317,353,96
