TQ,FQ,TS,FS
223,598,71,11
41,77,601,184
236,587,69,11
165,443,232,63
199,579,105,20
201,624,64,14
68,178,498,159
217,610,61,15
229,597,64,13
226,605,63,9
30,63,622,188
41,69,590,203
214,618,64,7
94,260,403,146
37,94,610,162
35,102,583,183
99,221,456,127
45,85,568,205
225,613,58,7
220,600,74,9
104,249,417,133
162,450,215,76
214,623,55,11
23,50,625,205
208,616,68,11
29,62,630,182
47,101,573,182
44,91,590,178
53,98,580,172
88,262,422,131
203,628,62,10
213,620,63,7
38,83,593,189
44,94,582,183
226,666,10,1
233,594,62,14
202,626,59,16
160,452,232,59
208,627,58,10
100,250,420,133
