TQ,FQ,TS,FS
111,221,448,123
152,387,291,73
229,561,95,18
157,349,326,71
160,396,288,59
150,397,291,65
149,343,333,78
90,205,466,142
167,402,259,75
167,373,295,68
151,362,323,67
202,477,182,42
163,416,266,58
38,92,571,202
146,448,256,53
105,263,422,113
160,408,269,66
225,546,107,25
160,337,334,72
123,201,473,106
195,474,192,42
184,456,209,54
94,212,466,131
226,652,23,2
163,474,210,56
34,87,605,177
158,361,313,71
145,330,351,77
70,118,560,155
46,92,592,173
114,314,376,99
81,203,480,139
45,53,623,182
147,322,354,80
180,440,236,47
163,352,304,84
196,551,134,22
139,331,353,80
177,527,158,41
156,360,310,77
