TQ,FQ,TS,FS
227,619,50,7
160,363,315,65
168,349,307,79
154,349,326,74
156,379,305,63
159,375,313,56
161,373,303,66
165,348,323,67
172,362,299,70
165,353,315,70
159,380,305,59
0,0,659,244
158,376,306,63
164,374,289,76
141,411,293,58
159,361,324,59
164,355,322,62
190,362,291,60
152,354,317,80
167,358,316,62
170,369,297,67
177,349,316,61
168,363,315,57
162,359,316,66
162,363,321,57
154,396,296,57
172,359,315,57
160,356,325,62
163,371,307,62
159,366,318,60
152,362,328,61
164,378,305,56
162,386,290,65
174,371,305,53
154,369,307,73
176,358,298,71
166,349,336,52
162,371,313,57
160,364,321,58
162,361,309,71
