TQ,FQ,TS,FS
182,454,215,52
220,643,35,5
244,614,42,3
173,444,231,55
0,3,681,219
154,463,225,61
167,454,222,60
174,453,218,58
180,429,232,62
177,442,226,58
169,464,221,49
15,31,628,229
1,3,679,220
182,439,224,58
0,2,702,199
10,34,651,208
18,33,644,208
182,426,227,68
229,628,43,3
23,44,630,206
14,26,640,223
192,449,216,46
15,35,643,210
14,31,644,214
20,34,650,199
165,454,238,46
182,442,232,47
144,423,258,78
17,35,643,208
170,461,223,49
158,441,249,55
162,439,244,58
168,447,229,59
176,447,229,51
0,2,674,227
182,432,224,65
162,437,248,56
167,453,231,52
0,3,682,218
178,447,223,55
