TQ,FQ,TS,FS
127,280,389,107
132,332,346,93
139,344,312,108
109,352,323,119
0,4,680,219
119,356,332,96
125,298,378,102
217,595,76,15
128,282,379,114
142,322,346,93
199,582,103,19
230,562,97,14
144,339,343,77
132,292,371,108
101,299,405,98
111,336,349,107
0,0,677,226
148,339,314,102
131,307,364,101
45,93,581,184
131,278,388,106
148,343,322,90
131,287,391,94
206,584,91,22
129,339,345,90
187,577,115,24
36,43,631,193
205,575,106,17
144,338,340,81
196,575,109,23
107,296,394,106
205,573,110,15
137,363,313,90
130,329,347,97
208,572,104,19
150,323,333,97
114,270,415,104
199,578,106,20
108,269,416,110
215,577,93,18
