TQ,FQ,TS,FS
156,357,312,78
0,0,678,225
227,544,112,20
56,121,554,172
133,336,348,86
96,245,443,119
202,533,143,25
154,374,297,78
211,502,159,31
53,87,581,182
160,422,263,58
99,195,464,145
87,251,431,134
25,43,620,215
157,512,192,42
36,74,611,182
14,42,635,212
174,416,237,76
121,280,391,111
205,528,146,24
187,473,193,50
128,295,370,110
202,557,121,23
135,356,319,93
159,468,216,60
28,76,616,183
135,354,320,94
196,553,128,26
212,590,88,13
156,426,258,63
201,579,111,12
26,40,643,194
189,464,212,38
130,360,316,97
57,136,540,170
208,491,165,39
47,86,599,171
61,141,543,158
53,136,549,165
198,504,166,35
