TQ,FQ,TS,FS
205,479,190,29
198,468,210,27
205,444,212,42
181,463,212,47
186,482,202,33
186,480,208,29
195,470,206,32
194,456,215,38
204,464,197,38
196,462,206,39
185,502,183,33
209,478,181,35
188,469,213,33
199,470,193,41
164,523,181,35
187,470,215,31
188,456,221,38
212,460,193,38
184,457,214,48
196,471,203,33
209,470,196,28
0,0,665,238
0,0,678,225
194,459,216,34
188,468,216,31
180,488,204,31
206,467,207,23
190,457,224,32
197,484,194,28
191,480,204,28
178,479,211,35
193,474,209,27
193,486,190,34
197,484,192,30
197,459,217,30
204,466,190,43
189,456,229,29
184,480,204,35
186,482,203,32
228,655,15,5
