TQ,FQ,TS,FS
0,0,669,234
210,598,80,15
233,581,75,14
212,578,97,16
0,0,684,219
0,0,688,215
0,0,676,227
211,582,89,21
226,575,86,16
0,6,662,235
0,0,685,218
233,586,73,11
205,592,90,16
221,576,87,19
0,0,704,199
0,0,685,218
215,592,85,11
237,564,89,13
218,578,93,14
0,0,674,229
0,0,666,237
0,0,665,238
0,0,678,225
227,669,6,1
0,0,684,219
0,0,692,211
214,583,91,15
206,582,99,16
211,595,83,14
0,0,684,219
201,593,97,12
210,594,89,10
209,593,83,18
218,598,78,9
0,0,676,227
0,0,656,247
210,587,98,8
0,0,684,219
198,587,98,20
216,583,87,17
