TQ,FQ,TS,FS
91,197,472,143
112,208,470,113
124,211,445,123
66,138,537,162
135,349,335,84
169,403,285,46
138,330,346,89
108,229,442,124
109,212,449,133
163,353,315,72
122,221,464,96
127,220,439,117
72,132,550,149
116,211,452,124
74,150,554,125
105,213,472,113
153,336,341,73
118,199,454,132
98,175,496,134
132,301,373,97
185,424,242,52
121,207,458,117
108,233,445,117
166,382,293,62
107,213,471,112
104,219,473,107
181,414,260,48
44,79,602,178
118,221,457,107
111,213,471,108
106,220,470,107
158,359,324,62
178,413,263,49
112,228,448,115
133,283,393,94
127,218,438,120
114,210,475,104
57,113,571,162
101,193,492,117
119,217,453,114
