TQ,FQ,TS,FS
218,568,101,16
207,583,95,18
233,565,91,14
206,567,108,22
202,574,110,17
196,593,95,19
200,572,104,27
211,573,98,21
223,563,98,19
214,570,98,21
3,7,678,215
223,566,93,21
204,587,95,17
218,560,103,22
186,613,91,13
0,7,678,218
205,579,98,21
0,6,647,250
0,0,671,232
213,557,117,16
0,0,666,237
3,7,658,235
207,589,89,18
209,569,106,19
0,0,684,219
0,0,692,211
0,0,674,229
199,565,116,23
208,582,96,17
0,0,684,219
194,583,107,19
0,0,683,220
205,578,98,22
0,0,676,227
210,564,112,17
0,0,656,247
207,584,101,11
0,0,684,219
0,0,685,218
216,581,89,17
