TQ,FQ,TS,FS
109,192,477,125
110,202,476,115
112,177,479,135
191,499,176,37
91,201,483,128
179,522,166,36
192,514,162,35
99,167,504,133
114,185,476,128
112,196,472,123
101,219,466,117
124,212,447,120
103,208,474,118
117,206,457,123
88,218,486,111
94,180,505,124
98,169,508,128
125,185,468,125
193,503,168,39
108,201,473,121
215,532,134,22
215,552,113,23
197,522,156,28
98,192,483,130
104,178,506,115
176,503,189,35
111,169,505,118
196,534,147,26
197,495,183,28
101,202,482,118
104,193,497,109
202,539,144,18
112,225,451,115
123,196,480,104
191,503,173,36
104,211,445,143
94,169,516,124
97,185,499,122
190,501,184,28
103,206,464,130
