TQ,FQ,TS,FS
148,313,356,86
161,352,326,64
156,309,347,91
134,322,353,94
141,324,360,78
131,331,357,84
150,318,358,77
145,302,369,87
152,308,353,90
149,320,348,86
140,346,339,78
157,330,329,87
142,322,360,79
152,328,335,88
123,348,356,76
149,328,357,69
153,307,370,73
167,322,331,83
137,325,346,95
142,318,356,87
151,329,337,86
154,311,354,84
225,673,5,0
141,312,363,87
151,310,374,68
137,325,367,74
159,319,355,70
145,304,377,77
140,335,343,85
138,328,356,81
141,322,368,72
144,328,355,76
146,359,317,81
150,312,364,77
146,319,357,81
157,321,335,90
137,310,375,81
145,332,352,74
147,333,352,71
145,327,343,88
