TQ,FQ,TS,FS
87,121,548,147
125,336,342,100
76,131,525,171
213,591,84,15
101,298,386,118
77,149,539,138
66,150,526,161
128,287,384,104
136,334,327,106
35,63,605,200
80,170,515,138
63,100,559,181
126,320,362,95
82,138,525,158
55,121,583,144
196,603,82,22
69,130,547,157
147,287,366,103
216,598,73,16
138,320,354,91
56,111,555,181
143,314,351,95
196,559,119,29
129,328,347,99
137,336,348,82
110,324,368,101
143,323,351,86
69,126,555,153
28,41,637,197
62,132,552,157
59,110,580,154
134,340,343,86
74,143,533,153
214,598,78,13
131,300,376,96
149,323,333,98
82,153,532,136
52,119,565,167
202,590,95,16
217,585,85,16
