TQ,FQ,TS,FS
206,533,136,28
125,311,367,100
57,99,557,190
177,420,255,51
216,664,20,3
68,177,511,147
223,656,20,4
45,75,596,187
70,125,536,172
232,651,17,3
160,440,245,58
130,241,418,114
74,183,499,147
140,344,319,100
148,437,267,51
145,381,304,73
139,336,341,87
107,186,467,143
145,324,347,87
141,294,380,88
182,455,211,55
61,108,557,177
71,136,542,154
148,357,318,80
185,499,185,34
131,345,347,80
37,62,612,192
56,120,561,166
142,326,352,83
152,396,288,67
44,76,614,169
50,100,583,170
149,380,296,78
74,152,524,153
201,563,113,26
171,373,283,76
28,49,636,190
66,137,547,153
195,586,99,23
211,561,109,22
