TQ,FQ,TS,FS
161,346,323,73
94,165,513,131
98,162,494,149
81,152,523,147
144,356,328,75
156,335,353,59
92,154,522,135
132,278,393,100
136,258,403,106
235,668,0,0
96,172,513,122
169,344,315,75
130,283,399,91
80,137,526,160
80,173,531,119
84,179,506,134
63,94,583,163
99,141,512,151
83,152,519,149
136,287,387,93
101,172,494,136
94,162,503,144
150,349,329,75
148,329,346,80
91,183,501,128
100,218,474,111
136,294,380,93
152,343,338,70
158,352,326,67
62,136,548,157
92,178,512,121
157,354,329,63
151,340,336,76
138,275,401,89
147,330,346,80
120,222,434,127
137,268,417,81
151,348,336,68
162,343,342,56
99,175,495,134
