TQ,FQ,TS,FS
233,646,23,1
0,0,678,225
0,0,656,247
181,504,171,47
183,519,165,36
175,520,168,40
189,516,160,38
8,26,645,224
7,21,640,235
232,644,24,3
185,525,160,33
205,525,134,39
0,0,682,221
191,486,177,49
167,540,164,32
2,18,667,216
11,16,661,215
209,487,166,41
5,14,657,227
21,135,539,208
7,20,646,230
236,646,19,2
9,21,657,216
0,0,675,228
169,488,196,50
174,519,173,37
226,656,18,3
182,507,174,40
192,519,159,33
0,5,679,219
172,520,170,41
171,498,185,49
187,515,161,40
4,24,652,223
192,510,166,35
0,0,656,247
178,524,161,40
183,514,170,36
170,509,176,48
0,0,670,233
