TQ,FQ,TS,FS
232,640,29,2
67,167,511,158
244,632,24,3
225,653,22,3
22,51,633,197
209,662,26,6
222,650,26,5
27,49,622,205
19,50,611,223
21,38,630,214
24,55,630,194
200,523,136,44
61,168,514,160
239,633,30,1
55,164,540,144
18,50,635,200
21,49,628,205
246,621,32,4
226,642,29,6
58,160,514,171
235,643,23,2
188,525,140,50
27,49,629,198
57,160,515,171
69,161,523,150
210,668,24,1
72,169,505,157
176,540,141,46
25,54,624,200
21,39,645,198
20,56,634,193
71,178,505,149
57,161,515,170
63,161,515,164
226,645,31,1
71,172,484,176
174,545,140,44
215,662,22,4
21,46,639,197
228,643,27,5
