TQ,FQ,TS,FS
135,266,403,99
94,229,449,131
174,353,303,73
224,615,60,4
118,224,460,101
180,487,201,35
119,239,437,108
91,173,498,141
101,189,472,141
133,267,401,102
58,100,585,160
172,369,290,72
117,224,458,104
146,345,318,94
93,235,469,106
106,228,457,112
184,477,200,42
130,194,459,120
30,51,620,202
120,221,453,109
125,237,429,112
74,129,536,164
215,640,38,10
108,215,460,120
112,251,433,107
122,343,349,89
122,234,440,107
121,252,429,101
171,407,271,54
203,584,100,16
116,255,435,97
126,286,397,94
185,449,227,42
114,235,441,113
20,29,647,207
130,230,426,117
181,522,163,37
110,272,412,109
111,211,474,107
113,231,439,120
