TQ,FQ,TS,FS
138,274,395,96
97,182,496,128
139,267,389,108
133,266,409,95
129,280,404,90
142,280,408,73
136,271,405,91
82,173,498,150
88,172,489,154
68,115,553,167
159,346,339,59
99,183,476,145
132,276,406,89
87,161,502,153
118,313,391,81
74,160,525,144
144,279,398,82
150,267,386,100
116,251,420,116
95,168,506,134
105,171,495,132
148,308,357,90
154,380,298,71
100,153,522,128
93,188,496,126
82,158,534,129
136,299,375,93
139,301,380,83
157,351,327,68
127,301,383,92
93,189,501,120
141,301,382,79
87,162,514,140
137,286,390,90
150,332,344,77
99,171,485,148
64,138,547,154
121,257,427,98
128,258,427,90
138,276,394,95
