TQ,FQ,TS,FS
14,27,642,220
170,456,222,55
181,417,239,66
167,436,239,61
167,450,234,52
9,28,660,206
162,434,242,65
176,457,214,56
189,436,225,53
179,451,217,56
178,473,212,40
9,25,634,235
166,476,206,55
183,437,226,57
150,457,247,49
208,627,58,10
223,648,29,3
194,431,222,56
0,0,671,232
190,445,229,39
190,447,219,47
8,22,643,230
184,467,211,41
165,431,244,63
169,446,238,50
164,449,243,47
181,437,237,48
168,434,247,54
181,454,224,44
215,646,38,4
5,19,671,208
172,440,243,48
171,457,219,56
185,431,245,42
179,458,218,48
169,422,234,78
168,451,234,50
169,456,228,50
152,437,248,66
181,444,226,52
