TQ,FQ,TS,FS
93,164,505,141
116,277,401,109
135,211,445,112
126,242,433,102
84,150,534,135
114,230,458,101
88,158,518,139
94,176,495,138
124,242,419,118
144,330,338,91
130,257,428,88
130,242,417,114
207,615,67,14
59,109,554,181
94,263,441,105
98,219,466,120
122,241,436,104
83,120,533,167
107,217,454,125
203,515,159,26
59,119,547,178
38,54,611,200
127,290,388,98
122,248,427,106
79,145,539,140
121,329,363,90
137,307,367,92
109,228,453,113
132,299,379,93
118,220,464,101
101,220,470,112
103,245,438,117
127,252,424,100
31,61,615,196
116,196,480,111
140,279,377,107
114,244,441,104
106,224,460,113
172,480,205,46
120,225,445,113
