TQ,FQ,TS,FS
190,419,250,44
184,418,260,41
190,387,269,57
0,0,675,228
174,436,248,45
173,437,251,42
175,424,252,52
184,407,264,48
190,412,249,52
0,0,668,235
172,449,236,46
199,444,215,45
179,435,247,42
185,425,238,55
158,475,229,41
179,422,263,39
175,418,259,51
197,416,237,53
168,400,271,64
187,419,255,42
195,420,246,42
194,412,253,44
182,432,246,43
179,417,258,49
0,0,684,219
161,438,254,50
195,406,268,34
174,398,283,48
187,439,239,38
180,421,263,39
167,431,259,46
179,415,268,41
180,420,256,47
189,429,247,38
184,414,262,43
184,420,236,63
0,0,685,218
175,445,239,44
173,425,260,45
180,420,250,53
