TQ,FQ,TS,FS
212,558,111,22
199,572,106,26
0,0,656,247
0,0,675,228
218,670,14,1
186,571,117,29
195,564,112,32
0,0,671,232
0,0,661,242
205,554,114,30
192,561,124,26
218,559,100,26
0,0,682,221
0,0,663,240
0,0,704,199
0,0,685,218
195,569,108,31
250,634,19,0
0,0,671,232
0,0,674,229
210,570,96,27
220,565,100,18
0,0,678,225
205,564,111,23
193,569,115,26
205,665,27,6
201,565,109,28
0,0,681,222
203,569,109,22
193,548,136,26
0,0,690,213
195,564,119,25
0,0,676,227
1,14,662,226
204,548,128,23
218,565,91,29
0,0,685,218
194,575,109,25
188,563,122,30
200,563,107,33
