TQ,FQ,TS,FS
225,584,85,9
218,602,76,7
236,582,74,11
0,0,675,228
212,600,84,7
0,0,688,215
222,597,79,5
219,591,80,13
0,0,661,242
227,590,78,8
208,611,74,10
235,596,63,9
213,595,87,8
230,580,83,10
0,0,704,199
207,596,89,11
214,589,88,12
238,570,83,12
222,595,76,10
219,589,85,10
226,598,68,11
227,583,82,11
222,604,74,3
219,584,91,9
208,599,85,11
199,600,92,12
222,581,93,7
216,587,94,6
221,604,74,4
211,602,82,8
0,0,690,213
0,0,683,220
218,607,69,9
224,599,77,3
0,0,676,227
236,591,65,11
205,604,81,13
209,599,85,10
206,597,88,12
0,0,670,233
