TQ,FQ,TS,FS
171,373,296,63
175,388,290,50
177,369,287,70
172,383,292,56
160,393,291,59
156,383,305,59
0,0,676,227
160,386,285,72
176,366,295,66
174,382,286,61
168,412,273,50
0,0,659,244
173,414,268,48
167,371,292,73
148,432,272,51
151,355,330,67
167,405,272,59
191,385,268,59
228,619,52,4
186,396,278,43
180,384,282,57
193,385,280,45
162,396,282,63
170,407,268,58
170,394,290,49
158,398,294,53
173,374,300,56
0,0,681,222
177,393,285,48
173,393,291,46
151,374,316,62
174,385,298,46
161,382,294,66
182,404,272,45
171,391,285,56
176,399,257,71
166,383,302,52
174,407,277,45
168,387,298,50
177,390,280,56
