TQ,FQ,TS,FS
145,317,352,89
131,323,355,94
116,266,390,131
218,572,103,10
202,572,112,17
111,293,395,104
127,283,393,100
220,593,78,12
125,267,394,117
127,269,399,108
136,326,359,82
151,323,336,93
138,317,365,83
131,272,391,109
105,284,420,94
197,587,98,21
124,295,382,102
130,254,399,120
221,568,103,11
138,276,398,91
221,558,108,16
24,32,633,214
131,281,397,94
212,576,99,16
119,261,423,100
191,586,106,20
124,282,392,105
133,344,337,89
209,571,107,16
131,323,361,88
115,273,417,98
141,308,375,79
138,335,341,89
125,273,403,102
125,278,398,102
153,311,345,94
130,295,390,88
203,582,102,16
181,524,161,37
131,268,402,102
