TQ,FQ,TS,FS
194,499,170,40
79,178,500,146
52,83,573,195
149,357,318,79
135,351,333,84
106,292,396,109
199,571,105,28
200,527,144,32
213,529,132,29
231,641,27,4
141,400,285,77
57,90,569,187
185,538,144,36
62,98,565,178
126,419,285,73
13,51,634,205
81,178,499,145
94,199,454,156
137,319,352,95
126,290,384,103
144,362,304,93
153,390,275,85
146,402,276,79
72,176,499,156
198,568,116,21
202,652,40,9
127,319,355,102
124,344,337,98
207,553,125,18
188,556,128,31
65,150,540,148
215,654,29,5
47,85,591,180
205,557,119,22
169,488,188,58
204,521,135,43
73,171,514,145
74,173,511,145
43,79,606,175
80,174,496,153
