TQ,FQ,TS,FS
71,110,559,163
117,252,426,108
128,245,411,119
121,250,425,107
109,264,420,110
111,249,439,104
46,97,579,181
58,110,561,174
24,55,606,218
134,327,341,101
120,265,420,98
134,246,413,110
116,262,420,105
123,268,395,117
103,283,421,96
119,257,428,99
121,240,437,105
65,104,549,185
128,277,394,104
119,254,420,110
130,263,403,107
59,100,565,179
116,269,409,109
116,253,422,112
119,261,423,100
101,254,438,110
134,314,360,95
22,46,635,200
119,270,408,106
58,118,566,161
53,124,566,160
58,118,565,162
120,261,415,107
54,122,554,173
118,235,441,109
70,118,538,177
70,104,581,148
52,106,578,167
123,271,414,95
132,238,432,101
