TQ,FQ,TS,FS
116,218,451,118
203,548,130,22
84,148,508,163
81,164,511,147
183,617,67,36
38,114,574,177
80,158,518,147
43,84,587,189
153,382,279,89
56,102,566,179
149,417,268,69
155,348,311,89
62,170,512,159
52,122,541,188
44,125,579,155
154,448,237,64
97,225,452,129
149,359,294,101
83,169,502,149
185,503,171,44
135,310,356,102
171,428,237,67
46,84,594,179
125,271,404,103
125,311,373,94
209,684,8,2
229,670,4,0
40,80,601,182
122,292,386,103
137,416,268,82
99,287,403,114
31,50,633,189
73,156,520,154
118,261,415,109
193,545,131,34
74,156,500,173
40,62,623,178
97,231,453,122
88,204,481,130
120,310,360,113
