TQ,FQ,TS,FS
233,634,35,1
0,0,678,225
195,446,210,52
0,0,675,228
0,0,684,219
215,664,24,0
172,463,213,55
191,471,200,41
189,432,229,53
195,462,206,40
179,498,187,39
201,476,183,43
180,480,202,41
182,437,226,58
156,476,228,43
165,465,220,53
175,452,225,51
199,449,204,51
186,445,226,46
0,0,674,229
197,466,200,40
205,459,206,33
175,464,214,50
184,475,200,44
181,472,212,38
0,0,692,211
0,0,674,229
175,478,203,47
188,478,200,37
184,477,207,35
169,469,221,44
181,465,218,39
172,460,216,55
189,482,194,38
185,471,205,42
6,19,637,241
171,443,242,47
179,476,208,40
167,440,245,51
192,469,201,41
