TQ,FQ,TS,FS
144,325,344,90
143,359,319,82
133,293,363,114
146,312,363,82
205,581,103,14
200,579,109,15
132,331,345,95
151,391,280,81
154,356,305,88
0,0,668,235
132,334,351,86
223,564,95,21
136,376,306,85
129,300,363,111
182,608,96,17
198,577,108,20
204,569,108,22
230,550,103,20
23,52,619,209
158,356,318,71
161,360,306,76
222,572,93,16
207,574,104,18
135,335,340,93
132,313,371,87
193,576,116,18
142,314,360,87
124,315,366,98
37,72,606,188
128,323,361,91
116,324,366,97
127,303,380,93
207,568,108,20
146,357,319,81
208,572,104,19
133,317,339,114
129,312,373,89
201,589,95,18
203,572,113,15
144,322,348,89
