TQ,FQ,TS,FS
132,257,412,102
207,572,106,18
133,231,425,114
119,250,425,109
204,584,100,15
197,602,86,18
203,584,92,24
126,228,443,106
131,229,432,111
125,256,412,110
206,593,92,12
140,250,409,104
207,587,95,14
132,253,410,108
182,610,94,17
202,583,102,16
202,556,121,24
144,247,406,106
115,234,437,117
123,242,432,106
134,269,397,103
218,570,95,20
128,252,426,97
115,240,435,113
205,595,89,14
113,253,439,98
144,243,431,85
123,218,463,99
209,588,90,16
127,265,419,92
123,239,451,90
211,590,93,9
131,289,387,96
137,243,433,90
122,247,429,105
128,256,400,119
118,233,452,100
126,249,435,93
131,260,425,87
124,254,416,109
