TQ,FQ,TS,FS
111,84,585,123
102,83,595,123
110,91,565,137
98,75,600,130
100,96,588,119
107,86,602,108
104,67,609,123
99,82,589,133
113,86,575,129
120,83,585,115
103,80,605,115
118,76,583,126
107,81,601,114
109,94,569,131
92,87,617,107
153,273,412,65
109,86,591,117
125,85,568,125
110,82,589,122
92,79,595,137
120,86,580,117
107,87,578,131
158,296,382,67
102,77,598,126
97,96,588,122
152,321,371,59
108,75,599,121
112,86,595,110
111,91,587,114
115,80,604,104
100,79,611,113
107,85,598,113
94,83,593,133
97,87,589,130
103,70,606,124
115,63,593,132
107,75,610,111
169,314,370,50
99,73,612,119
109,82,588,124
