TQ,FQ,TS,FS
166,159,510,68
145,138,540,80
153,129,527,94
136,97,578,92
139,142,542,80
146,143,545,69
148,99,577,79
157,184,487,75
145,113,548,97
162,122,546,73
164,189,496,54
163,117,542,81
136,93,589,85
144,120,543,96
134,125,579,65
136,158,527,82
151,127,550,75
184,184,469,66
139,122,549,93
150,177,497,79
171,183,483,66
146,122,543,92
161,206,472,64
158,119,556,70
133,125,559,86
131,140,552,80
138,106,568,91
152,129,552,70
147,132,546,78
159,168,516,60
154,202,488,59
153,183,500,67
140,127,549,87
135,105,571,92
122,84,592,105
165,129,527,82
120,98,587,98
143,110,574,76
141,117,568,77
136,101,569,97
