TQ,FQ,TS,FS
148,126,543,86
150,159,519,75
157,128,528,90
142,117,558,86
139,140,544,80
150,134,554,65
143,101,575,84
160,194,477,72
143,116,545,99
169,196,472,66
135,102,583,83
182,182,477,62
157,129,553,64
153,148,515,87
140,134,570,59
139,144,541,79
135,104,573,91
179,155,498,71
163,176,495,69
136,121,553,93
145,96,570,92
151,135,530,87
134,112,566,91
163,167,508,65
163,206,478,56
126,116,576,85
142,123,551,87
150,114,567,72
163,176,502,62
155,126,558,64
130,90,600,83
138,135,548,82
145,130,546,82
130,119,557,97
133,116,560,94
187,195,461,60
148,135,550,70
139,126,558,80
148,135,550,70
157,126,544,76
