TQ,FQ,TS,FS
209,426,243,25
68,50,628,157
75,43,613,172
196,426,249,32
55,48,636,164
181,438,250,34
195,432,244,32
202,466,205,30
63,52,609,179
55,39,629,180
191,443,242,27
77,42,617,167
60,52,630,161
211,424,239,29
51,57,647,148
182,410,275,36
197,439,238,29
73,40,613,177
56,57,614,176
59,36,638,170
72,46,620,165
215,426,239,23
62,65,613,163
54,48,627,174
196,441,243,23
60,47,645,151
202,441,233,27
54,42,639,168
198,435,243,27
201,439,245,18
182,445,245,31
59,45,638,161
185,432,244,42
195,447,229,32
194,452,224,33
214,424,232,33
62,49,636,156
59,50,634,160
185,420,265,33
60,36,634,173
