TQ,FQ,TS,FS
216,512,157,18
36,31,647,189
222,489,167,25
206,517,158,22
31,19,665,188
193,531,157,22
206,527,149,21
42,26,645,190
219,495,166,23
209,507,161,26
200,534,151,18
225,525,134,19
200,528,154,21
222,495,168,18
183,529,175,16
185,509,176,33
203,525,152,23
228,500,153,22
209,507,164,23
211,505,169,18
221,520,146,16
37,22,643,201
26,25,653,199
36,26,649,192
47,28,656,172
191,529,163,20
37,30,644,192
33,17,664,189
204,517,161,21
204,516,168,15
28,27,663,185
203,518,165,17
34,25,651,193
34,25,651,193
24,30,646,203
47,27,629,200
31,33,652,187
38,22,662,181
39,21,664,179
35,20,650,198
