TQ,FQ,TS,FS
5,4,665,229
3,3,675,222
2,5,651,245
211,583,92,17
213,584,100,6
201,580,108,14
7,3,673,220
218,570,101,14
4,2,659,238
7,5,663,228
209,590,95,9
233,572,87,11
211,586,96,10
4,5,658,236
4,6,698,195
204,571,114,14
211,582,95,15
6,8,645,244
8,4,667,224
218,563,111,11
224,576,90,13
4,8,657,234
218,586,92,7
4,7,668,224
7,8,676,212
195,584,108,16
220,572,102,9
213,567,114,9
218,584,94,7
4,4,680,215
202,585,105,11
4,6,677,216
217,584,92,10
223,588,88,4
1,3,673,226
7,3,653,240
203,590,95,15
207,583,101,12
206,581,104,12
223,570,100,10
