TQ,FQ,TS,FS
13,18,651,221
187,436,242,38
196,392,264,51
177,412,263,51
183,446,238,36
14,11,677,201
197,403,273,30
187,415,256,45
200,407,254,42
194,422,246,41
178,442,243,40
208,425,234,36
181,431,251,40
192,416,247,48
161,465,239,38
181,416,269,37
186,427,250,40
209,417,236,41
193,405,266,39
191,415,259,38
207,435,231,30
209,411,254,29
194,427,251,31
195,416,259,33
187,434,250,32
13,20,672,198
196,391,283,33
189,396,285,33
196,430,248,29
192,430,254,27
174,430,260,39
184,415,268,36
189,439,237,38
194,435,241,33
186,426,250,41
196,403,253,51
12,19,666,206
185,429,255,34
185,432,253,33
190,416,254,43
