TQ,FQ,TS,FS
211,501,168,23
12,11,667,213
217,494,162,30
202,503,172,26
195,515,169,24
193,520,168,22
205,513,163,22
209,508,163,23
214,493,168,28
9,11,657,226
13,11,674,205
222,509,150,22
7,11,671,214
215,497,166,25
176,542,162,23
186,504,181,32
202,506,171,24
226,494,159,24
202,494,177,30
210,506,168,19
216,502,164,21
10,15,650,228
198,518,160,27
203,514,161,25
15,14,670,204
189,516,176,22
211,507,167,18
12,17,664,210
10,7,671,215
202,518,166,17
188,511,179,25
197,511,172,23
14,17,659,213
205,521,155,22
7,14,662,220
219,498,158,28
193,502,183,25
12,10,674,207
195,500,185,23
10,12,658,223
