"","statement","question"
"#L",-0.102798149661184,0.102798151179592
"#LH",0.103427767367483,-0.103427767945046
"#LHL",-0.0717768672378503,0.0717768686449614
"bg",0.722765566718021,0.277234436973316
"H#",-0.222215367900141,0.222215369270563
"LH#",0.13816171378648,-0.138161712092192
"#H",-0.116727068005307,0.116727064599642
"#HL",-0.0613146785542854,0.0613146882663595
"#HLL",-0.119232439105131,0.119232435531273
"L#",0.137644757726261,-0.137644757508912
"LL#",0.0712942535197952,-0.0712942555350469
"#LHH",-0.144535628751667,0.144535631789636
"#LHHH",-0.0806442730749388,0.0806442904169144
"LLH#",0.25034125649923,-0.250341263493896
"LLLH#",-0.0492843147410331,0.0492843228636057
"HHHL#",-0.0445650211990026,0.0445650092189676
"HHL#",-0.256731636209069,0.256731652432161
"HL#",-0.323836768869689,0.323836762624271
"#LL",-0.106977267591296,0.106977263803455
"#LHHL",-0.118974111361564,0.118974108269982
"#LLL",-0.178828120048884,0.178828121268521
"#LLLH",0.342492002719427,-0.342492006042806
"#LHLH",0.0509860065487119,-0.0509860075780771
"HHLL#",-0.479074443943035,0.479074423385818
"HLL#",-0.126601147189097,0.126601157054902
"LHHL#",0.0853080516704095,-0.0853080814877363
"#HH",-0.108065413711467,0.108065427515182
"#LLH",0.149413567020837,-0.149413565803938
"HH#",-0.0606774910446526,0.060677489402734
"HHH#",-0.0820807764726015,0.0820808065127997
"LHHH#",-0.0136298102790969,0.0136297853679865
"LHL#",0.167345471893059,-0.167345465605559
"#HLLL",-0.0781360830199694,0.0781360810417503
"LLHL#",0.135340319613767,-0.135340314502138
"#HHL",-0.0851984116617042,0.0851983885978782
"#HHLH",0.0760581895533416,-0.0760581823002504
"HLLH#",-0.190762946887211,0.190762957598499
"#HLH",-0.0771609305561029,0.077160925313162
"#LLHL",-0.00473599145430773,0.00473599067102564
"LHH#",-0.00693287426801114,0.00693287793300164
"LLHH#",0.125457433365866,-0.125457426113346
"#LHLL",-0.0440362280751929,0.0440362265752637
"#HHLL",-0.114096370873416,0.11409638103997
"#LLHH",0.0288604989854119,-0.0288605011580895
"HLH#",-0.0811471229095472,0.0811471411895083
"LHLL#",-0.0309805586197783,0.0309805594776335
"HLHH#",-0.0786095301607827,0.0786095352467527
"LLL#",0.0540387376722452,-0.0540387273928496
"HLHL#",-0.149240575647214,0.149240577876105
"#HLLH",0.0293795408019779,-0.0293795420635006
"LHLH#",0.18792619255448,-0.187926212209606
"HLLL#",-0.181537729611605,0.181537705958819
"HHLH#",0.0933264182408273,-0.0933264417044199
"LLLL#",-0.00680614899484558,0.00680617124226886
"#LLLL",0.0131181723901503,-0.0131181720674354
"#HLHH",0.192864320371914,-0.192864320814044
"#HLHL",-0.0644847934654625,0.0644847942359165
"#HHH",0.276374794853932,-0.276375901938906
"#HHHL",-0.219831765211518,0.219833021864671
"#HHHH",-0.274228641789535,0.274230296549328
"HHHH#",-0.0130995605431609,0.0130993227126956
