"","statement","question"
"#H",-0.0331595636202568,0.0331595829302473
"#HH",-0.101652284565714,0.101652280731684
"#HHH",0.0343796191434388,-0.0343796182963124
"bg",0.435567950540313,0.564432028401979
"H#",-0.271421350898062,0.271421357698806
"LH#",0.151880177432086,-0.151880178667138
"LLH#",0.189422676115352,-0.189422675699297
"#HHL",0.0246994954281139,-0.024699494645444
"HL#",-0.183751385594022,0.183751385831472
"L#",0.131350701283634,-0.131350695652734
"LHL#",0.0638127494677619,-0.0638127503291342
"#L",0.196086741029842,-0.196086720813333
"#LL",-0.0956932967383113,0.0956932921038024
"#LLH",0.0280405269890783,-0.0280405260869189
"HH#",0.0550793155989915,-0.0550793187051863
"HHH#",-0.179474221517758,0.17947422349399
"#LH",-0.0533375245919535,0.0533375198978358
"LL#",0.185791236547887,-0.185791237428242
"#LHH",-0.150861072046893,0.150861072936401
"#HL",-0.138492544331287,0.138492540851778
"#HLL",0.0259910734638764,-0.025991072919961
"LLL#",-0.0326806306328279,0.0326806307715185
"HHL#",-0.125567079251195,0.125567078474152
"#LLL",-0.0286932688376823,0.0286932695994766
"HLL#",-0.144596504735623,0.144596504863923
"HLH#",0.110419042271241,-0.110419042372771
"#LHL",-0.115854598970587,0.115854599698481
"#HLH",0.172548617741742,-0.17254861703047
"LHH#",0.0670062874725723,-0.0670062857665727
