TQ,FQ,TS,FS
35,24,645,199
50,77,601,175
246,655,1,1
226,675,0,2
67,80,604,152
62,85,603,153
58,75,601,169
232,670,1,0
62,73,588,180
40,30,638,195
57,78,607,161
64,82,577,180
37,29,653,184
49,33,630,191
47,108,596,152
202,646,39,16
45,26,651,181
48,27,626,202
50,82,589,182
45,37,637,184
233,664,2,4
235,658,7,3
50,39,639,175
46,33,642,182
40,27,657,179
59,80,612,152
40,33,641,189
51,35,646,171
47,44,634,178
39,33,651,180
38,29,661,175
40,37,646,180
45,37,639,182
42,36,640,185
46,31,645,181
45,31,625,202
53,61,624,165
219,680,4,0
48,37,648,170
32,32,638,201
