TQ,FQ,TS,FS
233,663,6,1
38,32,646,187
66,86,570,181
226,672,3,2
71,88,596,148
49,37,651,166
63,83,593,164
41,36,635,191
48,33,628,194
67,100,568,168
41,39,646,177
243,655,4,1
39,34,648,182
51,42,621,189
51,112,592,148
47,37,648,171
62,85,592,164
50,28,625,200
54,89,582,178
62,81,593,167
47,30,636,190
234,656,9,4
52,44,634,173
50,38,637,178
69,79,605,150
41,34,658,170
41,45,629,188
68,94,587,154
48,45,633,177
58,90,594,161
39,32,658,174
42,39,644,178
65,94,582,162
64,85,591,163
46,32,644,181
64,87,569,183
60,66,619,158
37,35,649,182
52,39,646,166
37,34,636,196
