TQ,FQ,TS,FS
521,298,371,148
493,278,400,185
450,269,387,206
491,291,384,184
214,75,609,470
504,277,411,184
511,285,391,165
466,290,381,205
212,66,595,449
497,276,392,171
502,313,372,183
545,329,330,114
231,72,610,451
494,285,378,169
533,313,391,171
527,281,404,158
251,83,594,426
500,286,367,153
471,269,402,200
521,278,396,153
556,315,351,110
526,316,349,139
245,72,606,433
201,67,608,474
502,281,403,182
483,284,408,209
300,75,599,374
255,67,614,426
252,55,623,426
537,304,380,147
543,309,381,147
268,82,601,415
468,275,401,208
526,322,354,150
499,312,364,177
474,286,370,182
516,295,390,169
493,285,399,191
503,286,399,182
478,308,362,192
