TQ,FQ,TS,FS
338,80,589,331
600,457,221,78
571,414,242,85
263,69,606,412
645,448,236,39
357,71,617,331
588,456,220,88
327,86,585,344
293,63,598,368
334,80,588,334
355,79,606,330
332,79,580,327
304,65,617,378
311,68,595,352
653,478,226,51
310,83,602,375
315,74,603,362
291,63,590,362
312,80,591,359
338,88,586,336
342,77,589,324
321,79,586,344
295,93,585,383
267,72,603,408
377,91,593,307
317,76,616,375
341,90,584,333
297,62,619,384
615,455,223,63
320,74,610,364
348,85,605,342
338,87,596,345
341,101,575,335
284,69,607,392
282,99,577,394
351,87,569,305
595,474,211,90
342,87,597,342
399,88,597,286
586,458,212,84
