TQ,FQ,TS,FS
502,330,339,167
454,350,328,224
448,319,337,208
431,323,352,244
475,341,343,209
449,339,349,239
483,319,357,193
452,316,355,219
469,334,327,192
482,332,336,186
447,359,326,238
493,328,331,166
473,349,333,209
464,330,333,199
478,356,348,226
500,341,344,185
492,330,347,185
468,334,319,185
641,611,60,30
456,326,348,218
495,331,335,171
31,32,633,634
511,347,331,167
437,319,356,238
465,332,352,219
488,347,345,204
492,335,339,182
465,317,364,216
466,341,337,212
498,342,342,186
491,342,348,199
476,342,341,207
475,359,317,201
484,340,336,192
472,329,347,204
450,345,311,206
483,342,343,202
431,306,378,253
493,352,333,192
442,324,346,228
