TQ,FQ,TS,FS
190,463,217,33
194,431,233,45
71,108,582,142
133,275,400,95
66,86,600,151
153,350,328,72
92,107,554,150
167,338,340,58
132,272,400,99
168,393,290,52
173,377,285,68
117,184,482,120
92,200,502,109
159,307,360,77
185,416,251,51
130,207,439,127
195,388,266,54
121,228,447,107
112,232,438,121
205,475,192,31
