TQ,FQ,TS,FS
190,490,202,21
149,196,461,97
149,268,397,89
152,295,389,67
123,200,478,102
98,137,535,133
162,261,404,76
113,180,489,121
74,130,552,147
158,290,362,93
152,289,372,90
134,223,448,98
138,312,377,76
134,270,415,84
96,122,555,130
125,189,478,111
150,252,430,71
173,350,327,53
176,422,271,34
143,264,411,85
