TQ,FQ,TS,FS
177,424,259,43
91,164,523,125
105,206,469,123
98,172,512,121
161,400,283,59
166,394,287,56
129,271,405,98
164,387,297,55
98,176,510,119
83,154,542,124
126,284,398,95
83,174,525,121
132,285,394,92
196,378,265,64
85,214,479,125
105,160,520,118
126,257,430,90
130,320,358,95
176,377,289,61
123,252,450,78
