TQ,FQ,TS,FS
97,145,531,130
139,219,458,87
115,209,480,99
153,263,400,87
150,216,450,87
157,243,427,76
162,248,423,70
123,182,505,93
139,284,396,84
99,139,533,132
137,199,464,103
158,252,412,81
152,178,476,97
100,127,552,124
103,144,531,125
154,239,433,77
162,310,360,71
94,173,515,121
114,187,502,100
90,112,564,137
