TQ,FQ,TS,FS
144,266,403,90
87,127,551,138
178,340,316,69
151,305,370,77
145,314,370,74
152,325,363,63
154,315,361,73
158,300,371,74
224,556,105,18
75,109,559,160
73,116,569,145
179,308,351,65
142,307,375,79
163,274,389,77
148,361,343,51
132,276,409,86
158,313,364,68
73,85,568,177
148,280,391,84
147,303,371,82
170,311,355,67
184,373,292,54
76,94,584,149
167,378,297,61
143,293,391,76
160,371,321,51
147,297,377,82
149,287,394,73
85,135,543,140
146,309,375,73
134,305,385,79
138,272,411,82
166,356,320,61
152,309,367,75
126,304,372,101
161,291,365,86
144,312,373,74
164,366,318,55
144,282,403,74
160,295,375,73
