TQ,FQ,TS,FS
152,330,339,82
163,370,308,62
171,363,293,76
142,330,345,86
155,376,308,64
164,389,299,51
170,388,288,57
0,1,670,232
20,53,608,222
176,350,318,59
168,377,308,50
175,360,299,69
160,385,297,61
180,357,306,60
144,402,302,55
149,364,321,69
167,379,298,59
190,374,279,60
161,349,322,71
161,360,314,68
181,387,279,56
182,379,286,56
165,377,301,60
167,386,289,61
151,362,322,68
149,365,327,62
161,373,301,68
166,368,313,56
165,382,296,60
161,380,304,58
154,370,320,59
162,378,305,58
169,405,271,58
162,395,281,65
151,392,284,76
175,382,274,72
156,372,313,62
157,351,333,62
159,358,327,59
173,374,296,60
