TQ,FQ,TS,FS
169,357,312,65
174,354,324,51
166,337,319,81
157,347,328,71
149,360,324,70
145,319,369,70
161,354,322,66
165,348,323,67
167,357,304,75
1,0,668,234
165,380,305,53
181,356,303,63
161,393,289,60
174,361,302,66
141,392,312,58
2,3,682,216
166,354,323,60
167,320,333,83
164,356,315,68
164,359,315,65
184,367,299,53
170,334,331,68
176,361,317,49
160,350,325,68
167,372,312,52
155,365,327,56
177,345,329,52
146,323,358,76
171,373,305,54
165,363,321,54
160,358,332,53
167,385,298,53
167,377,299,60
170,351,325,57
161,371,305,66
180,359,297,67
154,353,332,64
215,654,30,4
169,357,328,49
170,355,315,63
