TQ,FQ,TS,FS
153,279,390,81
90,132,546,135
162,301,355,85
157,333,342,71
134,286,398,85
91,128,560,124
169,373,303,58
177,369,302,55
156,308,353,86
76,114,554,159
136,285,400,82
197,353,306,47
75,98,584,146
159,272,391,81
143,356,348,56
138,326,359,80
173,345,332,53
170,276,377,80
143,268,403,89
58,58,616,171
167,305,361,70
81,119,546,157
92,150,528,133
160,343,332,68
140,279,405,79
82,128,564,129
142,292,382,87
94,155,526,128
86,142,536,139
141,301,383,78
147,349,341,66
136,267,416,84
45,62,614,182
149,303,373,78
124,295,381,103
224,544,112,23
84,134,551,134
79,120,564,140
142,272,413,76
141,257,413,92
