TQ,FQ,TS,FS
564,441,228,105
589,433,245,89
536,425,231,120
571,435,240,104
570,454,230,114
604,451,237,84
48,8,668,628
553,443,228,118
553,430,231,108
587,422,246,81
591,461,224,94
570,453,206,89
573,450,232,109
568,433,230,95
589,484,220,115
563,419,266,122
564,450,227,113
556,437,216,97
556,427,244,115
38,11,663,636
589,437,229,77
571,442,223,94
541,441,237,137
567,441,234,108
588,445,239,96
599,445,247,93
593,443,231,81
572,439,242,109
595,443,235,83
593,430,254,91
579,432,258,111
576,430,253,107
562,455,221,114
588,455,221,88
559,437,239,117
539,429,227,117
588,431,254,97
612,455,229,72
593,446,239,92
532,433,237,138
