TQ,FQ,TS,FS
605,498,171,64
608,508,170,70
572,492,164,84
34,14,661,641
601,507,177,83
40,5,683,648
44,6,670,632
596,499,172,75
585,493,168,76
599,495,173,69
613,524,161,72
36,11,648,623
598,516,166,84
586,494,169,77
34,16,688,670
587,496,189,98
601,510,167,76
586,495,158,67
42,12,659,629
604,502,172,70
602,497,169,64
597,503,162,68
591,513,165,87
33,9,666,642
36,11,673,648
612,509,183,80
617,504,170,57
590,504,177,91
612,512,166,66
629,511,173,55
607,508,182,83
590,509,174,93
583,519,157,93
603,522,154,73
578,509,167,98
573,495,161,83
614,494,191,71
627,515,169,57
602,494,191,83
568,506,164,102
